	Mouse	Group	Source	Treatment	Cage	Experiment
FC1	C1	CE	Feces	Treatment	Cage01	CE
CC1	C1	CE	Cecum	Treatment	Cage01	CE
FC2	C2	CE	Feces	Treatment	Cage01	CE
CC2	C2	CE	Cecum	Treatment	Cage01	CE
FC3	C3	CE	Feces	Treatment	Cage02	CE
CC3	C3	CE	Cecum	Treatment	Cage02	CE
CC4	C4	CE	Cecum	Treatment	Cage02	CE
FC4	C4	CE	Feces	Treatment	Cage02	CE
CC5	C5	CE	Cecum	Treatment	Cage03	CE
FC5	C5	CE	Feces	Treatment	Cage03	CE
CC6	C6	CE	Cecum	Treatment	Cage03	CE
FC6	C6	CE	Feces	Treatment	Cage03	CE
FC7	C7	CE	Feces	Treatment	Cage04	CE
CC7	C7	CE	Cecum	Treatment	Cage04	CE
CC8	C8	CE	Cecum	Treatment	Cage04	CE
CR1	R1	RT	Cecum	Control	Cage06	CE
FR1	R1	RT	Feces	Control	Cage06	CE
CR2	R2	RT	Cecum	Control	Cage06	CE
FR2	R2	RT	Feces	Control	Cage06	CE
FR3	R3	RT	Feces	Control	Cage07	CE
CR4	R4	RT	Cecum	Control	Cage07	CE
FR4	R4	RT	Feces	Control	Cage07	CE
FR5	R5	RT	Feces	Control	Cage08	CE
CR5	R5	RT	Cecum	Control	Cage08	CE
CR6	R6	RT	Cecum	Control	Cage08	CE
FR6	R6	RT	Feces	Control	Cage08	CE
CR7	R7	RT	Cecum	Control	Cage09	CE
CR8	R8	RT	Cecum	Control	Cage09	CE
